MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
0.25,0.2777777777777778,0.375,0.2941176470588235,0.2941176470588235,0.2352941176470588,0.375,0.375,0.25,0.1666666666666666,0.25,0.2352941176470588,0.1764705882352941,0.3125,0.25,0.5882352941176471,0.0526315789473684,0.2727272727272727,0.375,0.625,0.34071886488270314
0.3125,0.3333333333333333,0.375,0.1764705882352941,0.3529411764705882,0.2352941176470588,0.1875,0.3125,0.1875,0.2222222222222222,0.1875,0.4117647058823529,0.1764705882352941,0.25,0.4375,0.3529411764705882,0.3157894736842105,0.1363636363636363,0.4375,0.1875,0.40315483234029775
0.25,0.4444444444444444,0.25,0.2352941176470588,0.3529411764705882,0.2352941176470588,0.375,0.25,0.375,0.5555555555555556,0.1875,0.2941176470588235,0.4117647058823529,0.4375,0.3125,0.2352941176470588,0.1052631578947368,0.3636363636363636,0.4375,0.25,0.40708459653665724
0.25,0.2777777777777778,0.5,0.1764705882352941,0.1764705882352941,0.3529411764705882,0.25,0.4375,0.4375,0.2222222222222222,0.4375,0.7058823529411764,0.5294117647058824,0.375,0.125,0.2941176470588235,0.2631578947368421,0.2727272727272727,0.0625,0.5625,0.2711898099155242
0.375,0.3333333333333333,0.3125,0.2352941176470588,0.2941176470588235,0.5294117647058824,0.375,0.375,0.3125,0.2777777777777778,0.25,0.6470588235294118,0.2352941176470588,0.4375,0.375,0.2941176470588235,0.1052631578947368,0.0909090909090909,0.1875,0.5625,0.478467242176157
0.25,0.3333333333333333,0.125,0.5294117647058824,0.2941176470588235,0.3529411764705882,0.375,0.375,0.1875,0.1111111111111111,0.125,0.2352941176470588,0.1764705882352941,0.3125,0.4375,0.2352941176470588,0.3157894736842105,0.3181818181818182,0.5,0.4375,0.4320872337672902
0.25,0.2222222222222222,0.125,0.4117647058823529,0.2941176470588235,0.2941176470588235,0.0625,0.3125,0.25,0.3888888888888888,0.625,0.2941176470588235,0.2352941176470588,0.4375,0.25,0.4705882352941176,0.1578947368421052,0.1363636363636363,0.25,0.1875,0.432104208873917
0.25,0.2777777777777778,0.125,0.4705882352941176,0.3529411764705882,0.2941176470588235,0.1875,0.4375,0.25,0.5,0.25,0.1764705882352941,0.2352941176470588,0.375,0.0625,0.3529411764705882,0.4210526315789473,0.2272727272727273,0.0,0.5625,0.4551946397091129
0.3125,0.2777777777777778,0.3125,0.1176470588235294,0.1764705882352941,0.4705882352941176,0.0625,0.4375,0.3125,0.1666666666666666,0.5,0.2352941176470588,0.1176470588235294,0.25,0.3125,0.2941176470588235,0.5789473684210527,0.1363636363636363,0.5,0.25,0.37548068236896764
0.0,0.2777777777777778,0.4375,0.4117647058823529,0.2352941176470588,0.2941176470588235,0.5625,0.375,0.125,0.4444444444444444,0.1875,0.4117647058823529,0.4705882352941176,0.125,0.375,0.3529411764705882,0.5263157894736842,0.5454545454545454,0.3125,0.5,0.14977162374734154
0.25,0.3888888888888888,0.0625,0.1764705882352941,0.1764705882352941,0.0588235294117647,0.3125,0.3125,0.4375,0.2222222222222222,0.3125,0.1176470588235294,0.2941176470588235,0.1875,0.375,0.3529411764705882,0.2105263157894736,0.0909090909090909,0.5625,0.1875,0.3506240880065259
0.125,0.1666666666666666,0.4375,0.2941176470588235,0.2352941176470588,0.2352941176470588,0.6875,0.25,0.25,0.1666666666666666,0.25,0.3529411764705882,0.0588235294117647,0.375,0.4375,0.4117647058823529,0.2631578947368421,0.2727272727272727,0.3125,0.125,0.21260347792898127
0.25,0.3888888888888888,0.375,0.1764705882352941,0.1764705882352941,0.5294117647058824,0.25,0.125,0.0625,0.3888888888888888,0.1875,0.2352941176470588,0.4117647058823529,0.4375,0.375,0.3529411764705882,0.2105263157894736,0.4090909090909091,0.375,0.375,0.33039533171982105
0.3125,0.1666666666666666,0.1875,0.5882352941176471,0.4117647058823529,0.1764705882352941,0.1875,0.5,0.4375,0.1111111111111111,0.375,0.4117647058823529,0.4705882352941176,0.1875,0.3125,0.8235294117647058,0.0526315789473684,0.1363636363636363,0.1875,0.3125,0.47007160782648466
0.375,0.2777777777777778,0.25,0.2352941176470588,0.1764705882352941,0.1764705882352941,0.25,0.1875,0.125,0.2777777777777778,0.375,0.4117647058823529,0.4117647058823529,0.3125,0.625,0.1764705882352941,0.1052631578947368,0.1363636363636363,0.25,0.3125,0.38164690405010443
0.3125,0.3333333333333333,0.25,0.3529411764705882,0.4705882352941176,0.2352941176470588,0.3125,0.125,0.375,0.3888888888888888,0.1875,0.2352941176470588,0.2352941176470588,0.375,0.6875,0.4117647058823529,0.3684210526315789,0.0909090909090909,0.3125,0.4375,0.49379489719542397
0.5,0.2777777777777778,0.25,0.1764705882352941,0.4705882352941176,0.4117647058823529,0.3125,0.3125,0.25,0.2222222222222222,0.25,0.2941176470588235,0.1764705882352941,0.4375,0.25,0.2352941176470588,0.1578947368421052,0.1363636363636363,0.5,0.3125,0.6340761158915404
0.125,0.3333333333333333,0.25,0.1764705882352941,0.2352941176470588,0.1176470588235294,0.25,0.25,0.75,0.2222222222222222,0.5,0.2352941176470588,0.2941176470588235,0.25,0.25,0.4705882352941176,0.1578947368421052,0.2272727272727273,0.5,0.25,0.25609612354080435
0.3125,0.1666666666666666,0.25,0.2941176470588235,0.2941176470588235,0.2941176470588235,0.5,0.1875,0.3125,0.1111111111111111,0.3125,0.3529411764705882,0.1764705882352941,0.25,0.375,0.6470588235294118,0.1578947368421052,0.2272727272727273,0.25,0.3125,0.419668024418774
0.5,0.3333333333333333,0.125,0.2941176470588235,0.5294117647058824,0.2941176470588235,0.4375,0.25,0.1875,0.3333333333333333,0.3125,0.2352941176470588,0.3529411764705882,0.3125,0.0625,0.4117647058823529,0.2105263157894736,0.2272727272727273,0.125,0.375,0.6795900652037306
0.125,0.5,0.375,0.2352941176470588,0.1764705882352941,0.4117647058823529,0.125,0.25,0.125,0.1666666666666666,0.25,0.1176470588235294,0.2941176470588235,0.375,0.5,0.1176470588235294,0.1578947368421052,0.2272727272727273,0.25,0.375,0.24149113977220954
0.3125,0.1111111111111111,0.125,0.4117647058823529,0.3529411764705882,0.1764705882352941,0.25,0.0625,0.3125,0.2222222222222222,0.25,0.1764705882352941,0.2941176470588235,0.125,0.1875,0.3529411764705882,0.1578947368421052,0.1363636363636363,0.375,0.3125,0.4705905755111419
0.125,0.1111111111111111,0.5,0.2941176470588235,0.2941176470588235,0.2941176470588235,0.4375,0.0625,0.3125,0.2777777777777778,0.0625,0.5882352941176471,0.2352941176470588,0.1875,0.4375,0.4117647058823529,0.3157894736842105,0.2727272727272727,0.625,0.25,0.2322380935121273
0.375,0.1111111111111111,0.125,0.1176470588235294,0.2352941176470588,0.1764705882352941,0.375,0.25,0.25,0.2222222222222222,0.4375,0.2941176470588235,0.1176470588235294,0.3125,0.1875,0.3529411764705882,0.1052631578947368,0.1818181818181818,0.3125,0.25,0.44875861201010914
0.125,0.2222222222222222,0.25,0.1764705882352941,0.1764705882352941,0.0588235294117647,0.5,0.375,0.1875,0.3333333333333333,0.25,0.1764705882352941,0.4705882352941176,0.3125,0.1875,0.2941176470588235,0.1578947368421052,0.1818181818181818,0.25,0.3125,0.21560387823257765
0.4375,0.3888888888888888,0.1875,0.1176470588235294,0.3529411764705882,0.3529411764705882,0.3125,0.25,0.125,0.0555555555555555,0.4375,0.3529411764705882,0.4705882352941176,0.1875,0.25,0.5294117647058824,0.2105263157894736,0.2272727272727273,0.3125,0.1875,0.5571156989213999
0.0625,0.1666666666666666,0.5625,0.2352941176470588,0.2941176470588235,0.3529411764705882,0.25,0.375,0.4375,0.1666666666666666,0.25,0.4117647058823529,0.2352941176470588,0.5625,0.3125,0.1176470588235294,0.0526315789473684,0.3636363636363636,0.25,0.375,0.17750295066492464
0.375,0.2222222222222222,0.4375,0.4705882352941176,0.2352941176470588,0.4117647058823529,0.4375,0.3125,0.3125,0.5,0.375,0.0588235294117647,0.1176470588235294,0.1875,0.4375,0.4117647058823529,0.1052631578947368,0.3181818181818182,0.1875,0.3125,0.397806091901683
0.375,0.0555555555555555,0.4375,0.2352941176470588,0.1176470588235294,0.2352941176470588,0.5625,0.1875,0.0625,0.2777777777777778,0.125,0.4117647058823529,0.4117647058823529,0.375,0.125,0.4705882352941176,0.2105263157894736,0.2272727272727273,0.3125,0.3125,0.31147644455945567
0.4375,0.2777777777777778,0.25,0.1764705882352941,0.3529411764705882,0.3529411764705882,0.25,0.5,0.125,0.0555555555555555,0.4375,0.1176470588235294,0.1764705882352941,0.1875,0.4375,0.4117647058823529,0.1578947368421052,0.1818181818181818,0.375,0.125,0.5358718479931149
0.3125,0.2777777777777778,0.3125,0.1176470588235294,0.3529411764705882,0.1176470588235294,0.1875,0.6875,0.625,0.3333333333333333,0.1875,0.4705882352941176,0.2941176470588235,0.1875,0.25,0.2352941176470588,0.2631578947368421,0.2727272727272727,0.3125,0.125,0.4019688425044637
0.125,0.2777777777777778,0.375,0.3529411764705882,0.4117647058823529,0.2941176470588235,0.5,0.1875,0.3125,0.4444444444444444,0.3125,0.1764705882352941,0.4117647058823529,0.3125,0.25,0.2352941176470588,0.0526315789473684,0.1818181818181818,0.3125,0.5,0.33392202440670754
0.1875,0.1111111111111111,0.375,0.5294117647058824,0.2352941176470588,0.3529411764705882,0.25,0.25,0.25,0.3333333333333333,0.1875,0.4117647058823529,0.2352941176470588,0.1875,0.25,0.1764705882352941,0.3157894736842105,0.1818181818181818,0.5625,0.3125,0.2906564957767627
